id,iupac,name_zh,cas,smiles
1,"sodium 2-[[(4R)-4-[(3R,5S,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetate",甘氨鹅脱氧胆酸钠,16564-43-5,C[C@H](CCC(=O)NCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C(C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C.[Na+]
2,2-(4-fluorophenyl)ethanamine;hydrochloride,2-(4-氟苯基)乙胺盐酸盐,459-19-8,C1=CC(=CC=C1CCN)F.Cl
3,ethyl 3-methyl-2-sulfanylideneimidazole-1-carboxylate,甲亢平,22232-54-8,CCOC(=O)N1C=CN(C1=S)C
4,trimethyl(phenyl)azanium bromide,苯基三甲基溴化铵,16056-11-4,C[N+](C)(C)C1=CC=CC=C1.[Br-]
5,2-(dimethylamino)ethanethioamide;hydrochloride,二甲氨基硫代乙酰胺盐酸盐,27366-72-9,CN(C)CC(=S)N.Cl
6,"potassium tetrakis(2,3,4,5,6-pentafluorophenyl)boranuide",四(五氟苯基)硼酸钾,89171-23-3,[B-](C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)(C3=C(C(=C(C(=C3F)F)F)F)F)C4=C(C(=C(C(=C4F)F)F)F)F.[K+]
7,"propane-1,3-diamine,1",3-二氨基丙烷二氢溴酸盐,18773-03-0,C(CN)CN
8,"2,8-diiododibenzothiophene,2",8-二碘二苯并噻吩,105404-91-9,C1=CC2=C(C=C1I)C3=C(S2)C=CC(=C3)I
9,potassium hexafluorophosphate,六氟磷酸钾,17084-13-8,F[P-](F)(F)(F)(F)F.[K+]
10,dibenzofuran,二苯并呋喃,132-64-9,C1=CC=C2C(=C1)C3=CC=CC=C3O2
11,sodium trifluoromethanesulfonate,三氟甲磺酸钠,2926-30-9,C(F)(F)(F)S(=O)(=O)[O-].[Na+]
12,"potassium (2E,4E)-hexa-2,4-dienoate",山梨酸钾,24634-61-5,C/C=C/C=C/C(=O)[O-].[K+]
13,"2-(3,5-dithiophen-2-ylphenyl)thiophene,1,3",5-三(2-噻吩基)苯,15509-95-2,C1=CSC(=C1)C2=CC(=CC(=C2)C3=CC=CS3)C4=CC=CS4
14,3-sulfanylbenzoic acid,3-巯基苯甲酸,4869-59-4,C1=CC(=CC(=C1)S)C(=O)O
15,"octane-1,8-diamine;dihydroiodide,1",8-辛二胺氢碘酸盐,2044283-92-1,C(CCCCN)CCCN.I.I
16,N-iodo-1-thiophen-2-ylmethanamine,2-噻吩甲胺氢碘酸盐,2247100-32-7,C1=CSC(=C1)CNI
17,chromen-2-one,香豆素,91-64-5,C1=CC=C2C(=C1)C=CC(=O)O2
18,"6-chloropyrimidine-2,4-diamine,2","2,4-二氨基-6-氯嘧啶",156-83-2,C1=C(N=C(N=C1Cl)N)N
19,N-methylmethanamine;hydroiodide,二甲胺氢碘酸盐,51066-74-1,SCNC.I
20,ethyl carbamimidothioate;hydrobromide,S-乙基异硫脲氢溴酸盐,1071-37-0,CCSC(=N)N.Br
21,N-[2-(5-methoxy-1H-indol-3-yl)ethyl]acetamide,褪黑素,73-31-4,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
22,"methanamine;hydrochloride,甲胺",盐酸盐,593-51-1,CN.Cl
