id,name,cas,smiles
1,甘氨鹅脱氧胆酸钠,16564-43-5,C[C@H](CCC(=O)NCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H...
2,2-(4-氟苯基)乙胺盐酸盐,459-19-8,C1=CC(=CC=C1CCN)F.Cl
3,甲亢平,22232-54-8,CCOC(=O)N1C=CN(C1=S)C
4,苯基三甲基溴化铵,16056-11-4,C[N+](C)(C)C1=CC=CC=C1.[Br-]
5,二甲氨基硫代乙酰胺盐酸盐,27366-72-9,CN(C)CC(=S)N.Cl
6,四(五氟苯基)硼酸钾,89171-23-3,[B-](C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)(C3=...
7,3-二氨基丙烷二氢溴酸盐,18773-03-0,C(CN)CN
8,8-二碘二苯并噻吩,105404-91-9,C1=CC2=C(C=C1I)C3=C(S2)C=CC(=C3)I
9,六氟磷酸钾,17084-13-8,F[P-](F)(F)(F)(F)F.[K+]
10,二苯并呋喃,132-64-9,C1=CC=C2C(=C1)C3=CC=CC=C3O2
11,三氟甲磺酸钠,2926-30-9,C(F)(F)(F)S(=O)(=O)[O-].[Na+]
12,山梨酸钾,24634-61-5,C/C=C/C=C/C(=O)[O-].[K+]
13,5-三(2-噻吩基)苯,15509-95-2,C1=CSC(=C1)C2=CC(=CC(=C2)C3=CC=CS3)C4=CC=CS4
14,3-巯基苯甲酸,4869-59-4,C1=CC(=CC(=C1)S)C(=O)O
15,8-辛二胺氢碘酸盐,2044283-92-1,C(CCCCN)CCCN.I.I
16,2-噻吩甲胺氢碘酸盐,2247100-32-7,C1=CSC(=C1)CNI
17,香豆素,91-64-5,C1=CC=C2C(=C1)C=CC(=O)O2
18,"2,4-二氨基-6-氯嘧啶",156-83-2,C1=C(N=C(N=C1Cl)N)N
19,二甲胺氢碘酸盐,51066-74-1,SCNC.I
20,S-乙基异硫脲氢溴酸盐,1071-37-0,CCSC(=N)N.Br
21,褪黑素,73-31-4,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
22,盐酸盐,593-51-1,CN.Cl
23,β-环糊精,7585-39-9,C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H](...
24,哌嗪单盐酸盐,7542-23-6,C1CNCCN1.Cl
25,10-菲咯啉,54258-41-2,C1=CC2=CC(=C3C=CC=NC3=C2N=C1)N
26,3-氨基-1-丙烷磺酸,3687-18-1,C(CN)CS(=O)(=O)O
27,甲酰胺,75-12-7,C(=O)N
28,醋酸甲脒,3473-63-0,CC(=O)O.C(=N)N
29,氨基甲烷磺酸,13881-91-9,C(N)S(=O)(=O)O
30,(4-溴苯基)-2-硫代脲,2646-30-2,C1=CC(=CC=C1NC(=S)N)Br
31,对甲苯磺酸水合物,6192-52-5,CC1=CC=C(C=C1)S(=O)(=O)O.O
32,4-氯吡啶-2-甲酰胺,99586-65-9,C1=CN=C(C=C1Cl)C(=O)N
33,甲基丙烯酸二甲氨基乙酯,2867-47-2,CC(=C)C(=O)OCCN(C)CCC(=C)C(=O)OCCN(C)C
34,对苯二甲胺,539-48-0,C1=CC(=CC=C1CN)CN
35,"2,4-二氨基-6-氟嘧啶",696-83-3,C1=C(N=C(N=C1F)N)N
36,2-b]噻吩,25121-87-3,C1=C(SC2=C1SC(=C2)Br)Br
37,2-乙酰基吡嗪,22047-25-2,CC(=O)C1=NC=CN=C1
38,4-苯基-3-硫代氨基脲,5351-69-9,C1=CC=C(C=C1)NC(=S)NN
39,11-马来酰胺基十一烷酸,57079-01-3,C1=CC(=O)N(C1=O)CCCCCCCCCCC(=O)O
40,(2-苯乙基)磷酸,4672-30-4,C1=CC=C(C=C1)CCP(=O)(O)O
41,L-高精氨酸盐酸盐,1483-01-8,C(CCN=C(N)N)C[C@@H](C(=O)O)N.Cl
42,2-氨基乙磺酸,107-35-7,C(CS(=O)(=O)O)N
43,4-氨基四氢噻喃盐酸盐,233763-40-1,C1CSCCC1N.Cl
44,硫氰酸铅,592-87-0,C(#N)[S-].C(#N)[S-].[Pb+2]
45,N-碘代丁二酰亚胺,516-12-1,C1CC(=O)N(C1=O)I
46,噻吩-2-甲脒氢碘酸盐,2568582-25-0,C1=CSC(=C1)C(=N)N.I
