scaffold,count
c1ccc2cnccc2c1,52
c1ccccc1,45
c1cnccn1,27
c1ccncc1,26
c1ccc2ncccc2c1,26
c1ccsc1,23
c1ccoc1,23
c1ccc2ccccc2c1,22
c1cscn1,17
C1CC2CC12,17
C1CCC1,16
C1CC1,15
O=C(Nc1ccccc1)c1cccc2ncccc12,15
c1ccc(-c2cccc3ncccc23)cc1,13
C1CO1,10
C1C2CC1C2,10
C1CC2CC1C2,9
C1C2CC12,8
C1COC1,8
c1c[nH]cn1,7
C1CCCC1,7
C1CN1,6
C1C2C1C1OC21,5
c1cc[nH]c1,5
C1OC2C1C1CC12,5
c1cnoc1,5
C1CCOC1,4
C1C2C3C1C23,4
O=C1C=CCC1,4
O=C1CCCC1,4
c1nnon1,4
C1C2CC3C1N23,4
C1CCNCC1.c1cnccn1,4
C1CC2CC2C1,4
C1OC2CC12,3
c1c[nH+]c[nH]1,3
O=C(c1ccccc1)c1cccc2ncccc12,3
C1CCC1.C1CCOCC1,3
C1CCC1.c1ccoc1,3
C1CCCC1.C1COC1,3
C1CC2OCC12,3
C1CC2CCC2C1,3
C1CC2CC2O1,3
C1CCC1.C1CCCC1,3
C1C2CC3C1C23,3
C1CC2CC(C2)O1,3
c1cocn1,3
c1cncnc1,3
c1cnc2c(c1)NC(c1cccc3ncccc13)CC2,3
C1CC2CC(C1)C2,2
C1COC1.c1cnccn1,2
C1COC1.c1ccsc1,2
C1CCC1.C1CCNCC1,2
c1cnc2c(c1)ccc1cccnc12,2
C1CCC1.C1CCNC1,2
C1C2C1C1CC21,2
C1COC1.c1ccccc1,2
C1=CN=CC1,2
C1CC2(C1)CO2,2
C1CCC2CC2C1,2
C1COC2(C1)CCC2,2
C1=CCC=C1,2
C1OCC2CC12,2
C1=CC=C1,2
C1CC2(C1)CC2,2
C1CCNC1.C1COC1,2
C1CC1.c1ccoc1,2
c1cncc(-c2cccc3ncccc23)c1,2
C1CC2CCC1C2,2
C1CC2CCC12,2
C1CC[C@H]2CC[C@H]3[C@@H]4CCCC4CC[C@@H]3C2C1,2
C1CCSCC1,2
C1CC1.C1CCOCC1,2
N=C1OC2CC12,2
C1OC2CC1C2,2
C1CCOCC1.C1COC1,2
C1CCNC1.C1CCNCC1,2
