add1,add2,score,mechs,rank
甘氨鹅脱氧胆酸钠,2-(4-氟苯基)乙胺盐酸盐,0.85,"{'Lewis', 'Dipole', 'Hbond'}",1
氨基甲烷磺酸,N-碘代丁二酰亚胺,0.85,"{'Lewis', 'Interface', 'Hbond'}",2
2-(4-氟苯基)乙胺盐酸盐,11-马来酰胺基十一烷酸,0.85,"{'Lewis', 'Dipole', 'Hbond'}",3
2-(4-氟苯基)乙胺盐酸盐,4-苯基-3-硫代氨基脲,0.85,"{'Lewis', 'Dipole', 'Hbond'}",4
氨基甲烷磺酸,(4-溴苯基)-2-硫代脲,0.85,"{'Lewis', 'Interface', 'Hbond'}",5
氨基甲烷磺酸,4-氯吡啶-2-甲酰胺,0.85,"{'Lewis', 'Interface', 'Hbond'}",6
氨基甲烷磺酸,4-苯基-3-硫代氨基脲,0.85,"{'Lewis', 'Interface', 'Hbond'}",7
2-(4-氟苯基)乙胺盐酸盐,4-氯吡啶-2-甲酰胺,0.85,"{'Lewis', 'Dipole', 'Hbond'}",8
氨基甲烷磺酸,11-马来酰胺基十一烷酸,0.85,"{'Lewis', 'Interface', 'Hbond'}",9
2-(4-氟苯基)乙胺盐酸盐,(4-溴苯基)-2-硫代脲,0.85,"{'Lewis', 'Dipole', 'Hbond'}",10
(4-溴苯基)-2-硫代脲,对甲苯磺酸水合物,0.85,"{'Lewis', 'Interface', 'Hbond'}",11
4-氯吡啶-2-甲酰胺,"2,4-二氨基-6-氟嘧啶",0.85,"{'Lewis', 'Dipole', 'Hbond'}",12
2-(4-氟苯基)乙胺盐酸盐,甲酰胺,0.85,"{'Lewis', 'Dipole', 'Hbond'}",13
(4-溴苯基)-2-硫代脲,"2,4-二氨基-6-氟嘧啶",0.85,"{'Lewis', 'Dipole', 'Hbond'}",14
2-(4-氟苯基)乙胺盐酸盐,褪黑素,0.85,"{'Lewis', 'Dipole', 'Hbond'}",15
(4-溴苯基)-2-硫代脲,(2-苯乙基)磷酸,0.85,"{'Lewis', 'Interface', 'Hbond'}",16
(4-溴苯基)-2-硫代脲,2-氨基乙磺酸,0.85,"{'Lewis', 'Interface', 'Hbond'}",17
(4-溴苯基)-2-硫代脲,硫氰酸铅,0.85,"{'Lewis', 'Dipole', 'Hbond'}",18
对甲苯磺酸水合物,4-氯吡啶-2-甲酰胺,0.85,"{'Lewis', 'Interface', 'Hbond'}",19
对甲苯磺酸水合物,4-苯基-3-硫代氨基脲,0.85,"{'Lewis', 'Interface', 'Hbond'}",20
2-(4-氟苯基)乙胺盐酸盐,N-碘代丁二酰亚胺,0.85,"{'Lewis', 'Dipole', 'Hbond'}",21
甲酰胺,硫氰酸铅,0.85,"{'Lewis', 'Dipole', 'Hbond'}",22
甲酰胺,2-氨基乙磺酸,0.85,"{'Lewis', 'Interface', 'Hbond'}",23
甲酰胺,(2-苯乙基)磷酸,0.85,"{'Lewis', 'Interface', 'Hbond'}",24
四(五氟苯基)硼酸钾,4-氯吡啶-2-甲酰胺,0.85,"{'Lewis', 'Dipole', 'Hbond'}",25
四(五氟苯基)硼酸钾,4-苯基-3-硫代氨基脲,0.85,"{'Lewis', 'Dipole', 'Hbond'}",26
四(五氟苯基)硼酸钾,11-马来酰胺基十一烷酸,0.85,"{'Lewis', 'Dipole', 'Hbond'}",27
褪黑素,3-氨基-1-丙烷磺酸,0.85,"{'Lewis', 'Interface', 'Hbond'}",28
褪黑素,氨基甲烷磺酸,0.85,"{'Lewis', 'Interface', 'Hbond'}",29
褪黑素,"2,4-二氨基-6-氟嘧啶",0.85,"{'Lewis', 'Dipole', 'Hbond'}",30
