ai_rank,add1,add2,agent_score,agent_label,opt_pce,opt_delta,opt_label,combined_verdict,mechanisms
1,2-(4-氟苯基)乙胺盐酸盐,甘氨鹅脱氧胆酸钠,0.85,synergy,23.14,1.33,synergy,both_synergy,"{'Lewis', 'Dipole', 'Hbond'}"
2,氨基甲烷磺酸,甘氨鹅脱氧胆酸钠,0.85,synergy,21.92,0.1,neutral,agent_synergy_only,"{'Lewis', 'Interface', 'Hbond'}"
3,2-氨基乙磺酸,甘氨鹅脱氧胆酸钠,0.85,synergy,22.35,0.54,synergy,both_synergy,"{'Lewis', 'Interface', 'Hbond'}"
4,2-(4-氟苯基)乙胺盐酸盐,褪黑素,0.85,synergy,21.22,-0.59,antagonistic,agent_synergy_only,"{'Lewis', 'Dipole', 'Hbond'}"
5,2-(4-氟苯基)乙胺盐酸盐,甲酰胺,0.85,synergy,22.06,0.25,neutral,agent_synergy_only,"{'Lewis', 'Dipole', 'Hbond'}"
6,(4-溴苯基)-2-硫代脲,2-(4-氟苯基)乙胺盐酸盐,0.85,synergy,22.39,0.58,synergy,both_synergy,"{'Lewis', 'Dipole', 'Hbond'}"
7,2-(4-氟苯基)乙胺盐酸盐,4-氯吡啶-2-甲酰胺,0.85,synergy,21.55,-0.26,neutral,agent_synergy_only,"{'Lewis', 'Dipole', 'Hbond'}"
8,2-(4-氟苯基)乙胺盐酸盐,4-苯基-3-硫代氨基脲,0.85,synergy,22.48,0.67,synergy,both_synergy,"{'Lewis', 'Dipole', 'Hbond'}"
9,2-(4-氟苯基)乙胺盐酸盐,N-碘代丁二酰亚胺,0.85,synergy,22.07,0.26,neutral,agent_synergy_only,"{'Lewis', 'Dipole', 'Hbond'}"
10,4-苯基-3-硫代氨基脲,对甲苯磺酸水合物,0.85,synergy,21.82,0.0,neutral,agent_synergy_only,"{'Lewis', 'Interface', 'Hbond'}"
11,甘氨鹅脱氧胆酸钠,甲亢平,0.7,synergy,22.44,0.63,synergy,both_synergy,"{'Lewis', 'Hbond'}"
12,二甲氨基硫代乙酰胺盐酸盐,甘氨鹅脱氧胆酸钠,0.7,synergy,21.93,0.11,neutral,agent_synergy_only,"{'Lewis', 'Hbond'}"
13,S-乙基异硫脲氢溴酸盐,甘氨鹅脱氧胆酸钠,0.7,synergy,22.31,0.5,synergy,both_synergy,"{'Lewis', 'Hbond'}"
14,甘氨鹅脱氧胆酸钠,醋酸甲脒,0.7,synergy,22.01,0.2,neutral,agent_synergy_only,"{'Lewis', 'Hbond'}"
15,(4-溴苯基)-2-硫代脲,甘氨鹅脱氧胆酸钠,0.7,synergy,22.22,0.4,neutral,agent_synergy_only,"{'Lewis', 'Hbond'}"
16,4-氯吡啶-2-甲酰胺,甘氨鹅脱氧胆酸钠,0.7,synergy,22.2,0.39,neutral,agent_synergy_only,"{'Lewis', 'Hbond'}"
17,对苯二甲胺,甘氨鹅脱氧胆酸钠,0.7,synergy,22.17,0.36,neutral,agent_synergy_only,"{'Lewis', 'Hbond'}"
18,4-苯基-3-硫代氨基脲,甘氨鹅脱氧胆酸钠,0.7,synergy,21.7,-0.11,neutral,agent_synergy_only,"{'Lewis', 'Hbond'}"
19,11-马来酰胺基十一烷酸,甘氨鹅脱氧胆酸钠,0.7,synergy,22.5,0.69,synergy,both_synergy,"{'Lewis', 'Hbond'}"
20,L-高精氨酸盐酸盐,甘氨鹅脱氧胆酸钠,0.7,synergy,22.8,0.98,synergy,both_synergy,"{'Lewis', 'Hbond'}"
21,4-氨基四氢噻喃盐酸盐,甘氨鹅脱氧胆酸钠,0.7,synergy,21.73,-0.08,neutral,agent_synergy_only,"{'Lewis', 'Hbond'}"
22,甲酰胺,苯基三甲基溴化铵,0.7,synergy,22.41,0.6,synergy,both_synergy,"{'Lewis', 'Hbond'}"
23,(4-溴苯基)-2-硫代脲,苯基三甲基溴化铵,0.7,synergy,22.5,0.69,synergy,both_synergy,"{'Lewis', 'Hbond'}"
24,4-氯吡啶-2-甲酰胺,苯基三甲基溴化铵,0.7,synergy,21.43,-0.38,antagonistic,agent_synergy_only,"{'Lewis', 'Hbond'}"
25,4-苯基-3-硫代氨基脲,苯基三甲基溴化铵,0.7,synergy,22.44,0.62,synergy,both_synergy,"{'Lewis', 'Hbond'}"
26,二甲氨基硫代乙酰胺盐酸盐,褪黑素,0.7,synergy,20.89,-0.92,antagonistic,agent_synergy_only,"{'Lewis', 'Hbond'}"
27,二甲氨基硫代乙酰胺盐酸盐,甲酰胺,0.7,synergy,21.78,-0.04,neutral,agent_synergy_only,"{'Lewis', 'Hbond'}"
28,4-氯吡啶-2-甲酰胺,二甲氨基硫代乙酰胺盐酸盐,0.7,synergy,21.87,0.06,neutral,agent_synergy_only,"{'Lewis', 'Hbond'}"
29,4-苯基-3-硫代氨基脲,二甲氨基硫代乙酰胺盐酸盐,0.7,synergy,22.08,0.27,neutral,agent_synergy_only,"{'Lewis', 'Hbond'}"
30,4-苯基-3-硫代氨基脲,六氟磷酸钾,0.7,synergy,20.94,-0.87,antagonistic,agent_synergy_only,"{'Lewis', 'Hbond'}"
31,(4-溴苯基)-2-硫代脲,山梨酸钾,0.7,synergy,24.0,2.19,synergy,both_synergy,"{'Lewis', 'Hbond'}"
32,(4-溴苯基)-2-硫代脲,醋酸甲脒,0.7,synergy,22.43,0.61,synergy,both_synergy,"{'Lewis', 'Hbond'}"
33,2-(4-氟苯基)乙胺盐酸盐,3-氨基-1-丙烷磺酸,0.65,neutral,22.37,0.56,synergy,optical_synergy_only,"{'Lewis', 'Dipole', 'Interface'}"
34,2-(4-氟苯基)乙胺盐酸盐,氨基甲烷磺酸,0.65,neutral,21.76,-0.05,neutral,both_neutral,"{'Lewis', 'Dipole', 'Interface'}"
35,2-(4-氟苯基)乙胺盐酸盐,对甲苯磺酸水合物,0.65,neutral,22.01,0.2,neutral,both_neutral,"{'Lewis', 'Dipole', 'Interface'}"
36,(2-苯乙基)磷酸,2-(4-氟苯基)乙胺盐酸盐,0.65,neutral,22.76,0.95,synergy,optical_synergy_only,"{'Lewis', 'Dipole', 'Interface'}"
37,2-(4-氟苯基)乙胺盐酸盐,2-氨基乙磺酸,0.65,neutral,22.52,0.7,synergy,optical_synergy_only,"{'Lewis', 'Dipole', 'Interface'}"
38,四(五氟苯基)硼酸钾,甘氨鹅脱氧胆酸钠,0.5,neutral,21.53,-0.28,neutral,both_neutral,"{'Dipole', 'Hbond'}"
39,对甲苯磺酸水合物,甘氨鹅脱氧胆酸钠,0.5,neutral,21.51,-0.3,antagonistic,optical_ant_only,"{'Interface', 'Hbond'}"
40,(2-苯乙基)磷酸,甘氨鹅脱氧胆酸钠,0.5,neutral,22.97,1.16,synergy,optical_synergy_only,"{'Interface', 'Hbond'}"
41,甘氨鹅脱氧胆酸钠,硫氰酸铅,0.5,neutral,21.73,-0.08,neutral,both_neutral,"{'Dipole', 'Hbond'}"
42,2-(4-氟苯基)乙胺盐酸盐,甲亢平,0.5,neutral,22.88,1.07,synergy,optical_synergy_only,"{'Lewis', 'Dipole'}"
43,2-(4-氟苯基)乙胺盐酸盐,苯基三甲基溴化铵,0.5,neutral,22.83,1.02,synergy,optical_synergy_only,"{'Lewis', 'Dipole'}"
44,2-(4-氟苯基)乙胺盐酸盐,二甲氨基硫代乙酰胺盐酸盐,0.5,neutral,21.46,-0.35,antagonistic,optical_ant_only,"{'Lewis', 'Dipole'}"
45,2-(4-氟苯基)乙胺盐酸盐,四(五氟苯基)硼酸钾,0.5,neutral,22.15,0.34,neutral,both_neutral,"{'Lewis', 'Dipole'}"
46,2-(4-氟苯基)乙胺盐酸盐,六氟磷酸钾,0.5,neutral,23.27,1.46,synergy,optical_synergy_only,"{'Lewis', 'Dipole'}"
47,2-(4-氟苯基)乙胺盐酸盐,三氟甲磺酸钠,0.5,neutral,21.67,-0.15,neutral,both_neutral,"{'Lewis', 'Dipole'}"
48,2-(4-氟苯基)乙胺盐酸盐,3-巯基苯甲酸,0.5,neutral,22.89,1.08,synergy,optical_synergy_only,"{'Lewis', 'Dipole'}"
49,2-(4-氟苯基)乙胺盐酸盐,2-噻吩甲胺氢碘酸盐,0.5,neutral,22.18,0.37,neutral,both_neutral,"{'Lewis', 'Dipole'}"
50,2-(4-氟苯基)乙胺盐酸盐,香豆素,0.5,neutral,21.54,-0.27,neutral,both_neutral,"{'Lewis', 'Dipole'}"
51,2-(4-氟苯基)乙胺盐酸盐,二甲胺氢碘酸盐,0.5,neutral,22.74,0.93,synergy,optical_synergy_only,"{'Lewis', 'Dipole'}"
52,2-(4-氟苯基)乙胺盐酸盐,S-乙基异硫脲氢溴酸盐,0.5,neutral,23.01,1.19,synergy,optical_synergy_only,"{'Lewis', 'Dipole'}"
53,2-(4-氟苯基)乙胺盐酸盐,β-环糊精,0.5,neutral,22.68,0.87,synergy,optical_synergy_only,"{'Lewis', 'Dipole'}"
