ai_rank,add1,add2,ai_score,opt_pce,synergy_delta,synergy_label,mechanisms
1,2-(4-氟苯基)乙胺盐酸盐,甘氨鹅脱氧胆酸钠,0.85,23.14,1.33,synergy,"{'Dipole', 'Hbond', 'Lewis'}"
2,氨基甲烷磺酸,甘氨鹅脱氧胆酸钠,0.85,21.92,0.1,neutral,"{'Interface', 'Hbond', 'Lewis'}"
3,2-氨基乙磺酸,甘氨鹅脱氧胆酸钠,0.85,22.35,0.54,synergy,"{'Interface', 'Hbond', 'Lewis'}"
4,2-(4-氟苯基)乙胺盐酸盐,褪黑素,0.85,21.22,-0.59,antagonistic,"{'Dipole', 'Hbond', 'Lewis'}"
5,2-(4-氟苯基)乙胺盐酸盐,甲酰胺,0.85,22.06,0.25,neutral,"{'Dipole', 'Hbond', 'Lewis'}"
6,(4-溴苯基)-2-硫代脲,2-(4-氟苯基)乙胺盐酸盐,0.85,22.39,0.58,synergy,"{'Dipole', 'Hbond', 'Lewis'}"
7,2-(4-氟苯基)乙胺盐酸盐,4-氯吡啶-2-甲酰胺,0.85,21.55,-0.26,neutral,"{'Dipole', 'Hbond', 'Lewis'}"
8,2-(4-氟苯基)乙胺盐酸盐,4-苯基-3-硫代氨基脲,0.85,22.48,0.67,synergy,"{'Dipole', 'Hbond', 'Lewis'}"
9,2-(4-氟苯基)乙胺盐酸盐,N-碘代丁二酰亚胺,0.85,22.07,0.26,neutral,"{'Dipole', 'Hbond', 'Lewis'}"
10,4-苯基-3-硫代氨基脲,对甲苯磺酸水合物,0.85,21.82,0.0,neutral,"{'Interface', 'Hbond', 'Lewis'}"
11,甘氨鹅脱氧胆酸钠,甲亢平,0.7,22.44,0.63,synergy,"{'Hbond', 'Lewis'}"
12,二甲氨基硫代乙酰胺盐酸盐,甘氨鹅脱氧胆酸钠,0.7,21.93,0.11,neutral,"{'Hbond', 'Lewis'}"
13,S-乙基异硫脲氢溴酸盐,甘氨鹅脱氧胆酸钠,0.7,22.31,0.5,neutral,"{'Hbond', 'Lewis'}"
14,甘氨鹅脱氧胆酸钠,醋酸甲脒,0.7,22.01,0.2,neutral,"{'Hbond', 'Lewis'}"
15,(4-溴苯基)-2-硫代脲,甘氨鹅脱氧胆酸钠,0.7,22.22,0.4,neutral,"{'Hbond', 'Lewis'}"
16,4-氯吡啶-2-甲酰胺,甘氨鹅脱氧胆酸钠,0.7,22.2,0.39,neutral,"{'Hbond', 'Lewis'}"
17,对苯二甲胺,甘氨鹅脱氧胆酸钠,0.7,22.17,0.36,neutral,"{'Hbond', 'Lewis'}"
18,4-苯基-3-硫代氨基脲,甘氨鹅脱氧胆酸钠,0.7,21.7,-0.11,neutral,"{'Hbond', 'Lewis'}"
19,11-马来酰胺基十一烷酸,甘氨鹅脱氧胆酸钠,0.7,22.5,0.69,synergy,"{'Hbond', 'Lewis'}"
20,L-高精氨酸盐酸盐,甘氨鹅脱氧胆酸钠,0.7,22.8,0.98,synergy,"{'Hbond', 'Lewis'}"
21,4-氨基四氢噻喃盐酸盐,甘氨鹅脱氧胆酸钠,0.7,21.73,-0.08,neutral,"{'Hbond', 'Lewis'}"
22,甲酰胺,苯基三甲基溴化铵,0.7,22.41,0.6,synergy,"{'Hbond', 'Lewis'}"
23,(4-溴苯基)-2-硫代脲,苯基三甲基溴化铵,0.7,22.5,0.69,synergy,"{'Hbond', 'Lewis'}"
24,4-氯吡啶-2-甲酰胺,苯基三甲基溴化铵,0.7,21.43,-0.38,antagonistic,"{'Hbond', 'Lewis'}"
25,4-苯基-3-硫代氨基脲,苯基三甲基溴化铵,0.7,22.44,0.62,synergy,"{'Hbond', 'Lewis'}"
26,二甲氨基硫代乙酰胺盐酸盐,褪黑素,0.7,20.89,-0.92,antagonistic,"{'Hbond', 'Lewis'}"
27,二甲氨基硫代乙酰胺盐酸盐,甲酰胺,0.7,21.78,-0.04,neutral,"{'Hbond', 'Lewis'}"
28,4-氯吡啶-2-甲酰胺,二甲氨基硫代乙酰胺盐酸盐,0.7,21.87,0.06,neutral,"{'Hbond', 'Lewis'}"
29,4-苯基-3-硫代氨基脲,二甲氨基硫代乙酰胺盐酸盐,0.7,22.08,0.27,neutral,"{'Hbond', 'Lewis'}"
30,4-苯基-3-硫代氨基脲,六氟磷酸钾,0.7,20.94,-0.87,antagonistic,"{'Hbond', 'Lewis'}"
31,(4-溴苯基)-2-硫代脲,山梨酸钾,0.7,24.0,2.19,synergy,"{'Hbond', 'Lewis'}"
32,(4-溴苯基)-2-硫代脲,醋酸甲脒,0.7,22.43,0.61,synergy,"{'Hbond', 'Lewis'}"
33,2-(4-氟苯基)乙胺盐酸盐,3-氨基-1-丙烷磺酸,0.65,22.37,0.56,synergy,"{'Interface', 'Dipole', 'Lewis'}"
34,2-(4-氟苯基)乙胺盐酸盐,氨基甲烷磺酸,0.65,21.76,-0.05,neutral,"{'Interface', 'Dipole', 'Lewis'}"
35,2-(4-氟苯基)乙胺盐酸盐,对甲苯磺酸水合物,0.65,22.01,0.2,neutral,"{'Interface', 'Dipole', 'Lewis'}"
36,(2-苯乙基)磷酸,2-(4-氟苯基)乙胺盐酸盐,0.65,22.76,0.95,synergy,"{'Interface', 'Dipole', 'Lewis'}"
37,2-(4-氟苯基)乙胺盐酸盐,2-氨基乙磺酸,0.65,22.52,0.7,synergy,"{'Interface', 'Dipole', 'Lewis'}"
38,四(五氟苯基)硼酸钾,甘氨鹅脱氧胆酸钠,0.5,21.53,-0.28,neutral,"{'Dipole', 'Hbond'}"
39,对甲苯磺酸水合物,甘氨鹅脱氧胆酸钠,0.5,21.51,-0.3,antagonistic,"{'Interface', 'Hbond'}"
40,(2-苯乙基)磷酸,甘氨鹅脱氧胆酸钠,0.5,22.97,1.16,synergy,"{'Interface', 'Hbond'}"
41,甘氨鹅脱氧胆酸钠,硫氰酸铅,0.5,21.73,-0.08,neutral,"{'Dipole', 'Hbond'}"
42,2-(4-氟苯基)乙胺盐酸盐,甲亢平,0.5,22.88,1.07,synergy,"{'Dipole', 'Lewis'}"
43,2-(4-氟苯基)乙胺盐酸盐,苯基三甲基溴化铵,0.5,22.83,1.02,synergy,"{'Dipole', 'Lewis'}"
44,2-(4-氟苯基)乙胺盐酸盐,二甲氨基硫代乙酰胺盐酸盐,0.5,21.46,-0.35,antagonistic,"{'Dipole', 'Lewis'}"
45,2-(4-氟苯基)乙胺盐酸盐,四(五氟苯基)硼酸钾,0.5,22.15,0.34,neutral,"{'Dipole', 'Lewis'}"
46,2-(4-氟苯基)乙胺盐酸盐,六氟磷酸钾,0.5,23.27,1.46,synergy,"{'Dipole', 'Lewis'}"
47,2-(4-氟苯基)乙胺盐酸盐,三氟甲磺酸钠,0.5,21.67,-0.15,neutral,"{'Dipole', 'Lewis'}"
48,2-(4-氟苯基)乙胺盐酸盐,3-巯基苯甲酸,0.5,22.89,1.08,synergy,"{'Dipole', 'Lewis'}"
49,2-(4-氟苯基)乙胺盐酸盐,2-噻吩甲胺氢碘酸盐,0.5,22.18,0.37,neutral,"{'Dipole', 'Lewis'}"
50,2-(4-氟苯基)乙胺盐酸盐,香豆素,0.5,21.54,-0.27,neutral,"{'Dipole', 'Lewis'}"
51,2-(4-氟苯基)乙胺盐酸盐,二甲胺氢碘酸盐,0.5,22.74,0.93,synergy,"{'Dipole', 'Lewis'}"
52,2-(4-氟苯基)乙胺盐酸盐,S-乙基异硫脲氢溴酸盐,0.5,23.01,1.19,synergy,"{'Dipole', 'Lewis'}"
