ai_rank,add1,add2,ai_score,opt_pce,synergy_delta,mechanisms,synergy_label,ai_recommendation
1,2-(4-氟苯基)乙胺盐酸盐,甘氨鹅脱氧胆酸钠,0.85,23.14,1.33,"{'Dipole', 'Hbond', 'Lewis'}",synergy,AI-recommended (synergy)
2,氨基甲烷磺酸,甘氨鹅脱氧胆酸钠,0.85,21.92,0.1,"{'Interface', 'Hbond', 'Lewis'}",neutral,Neutral
3,2-氨基乙磺酸,甘氨鹅脱氧胆酸钠,0.85,22.35,0.54,"{'Interface', 'Hbond', 'Lewis'}",synergy,AI-recommended (synergy)
4,2-(4-氟苯基)乙胺盐酸盐,褪黑素,0.85,21.22,-0.59,"{'Dipole', 'Hbond', 'Lewis'}",antagonistic,AI-flags avoidance (antagonistic)
5,2-(4-氟苯基)乙胺盐酸盐,甲酰胺,0.85,22.06,0.25,"{'Dipole', 'Hbond', 'Lewis'}",neutral,Neutral
6,(4-溴苯基)-2-硫代脲,2-(4-氟苯基)乙胺盐酸盐,0.85,22.39,0.58,"{'Dipole', 'Hbond', 'Lewis'}",synergy,AI-recommended (synergy)
7,2-(4-氟苯基)乙胺盐酸盐,4-氯吡啶-2-甲酰胺,0.85,21.55,-0.26,"{'Dipole', 'Hbond', 'Lewis'}",neutral,Neutral
8,2-(4-氟苯基)乙胺盐酸盐,4-苯基-3-硫代氨基脲,0.85,22.48,0.67,"{'Dipole', 'Hbond', 'Lewis'}",synergy,AI-recommended (synergy)
9,2-(4-氟苯基)乙胺盐酸盐,N-碘代丁二酰亚胺,0.85,22.07,0.26,"{'Dipole', 'Hbond', 'Lewis'}",neutral,Neutral
10,4-苯基-3-硫代氨基脲,对甲苯磺酸水合物,0.85,21.82,0.0,"{'Interface', 'Hbond', 'Lewis'}",neutral,Neutral
11,甘氨鹅脱氧胆酸钠,甲亢平,0.7,22.44,0.63,"{'Hbond', 'Lewis'}",synergy,AI-recommended (synergy)
12,二甲氨基硫代乙酰胺盐酸盐,甘氨鹅脱氧胆酸钠,0.7,21.93,0.11,"{'Hbond', 'Lewis'}",neutral,Neutral
13,S-乙基异硫脲氢溴酸盐,甘氨鹅脱氧胆酸钠,0.7,22.31,0.5,"{'Hbond', 'Lewis'}",neutral,Neutral
14,甘氨鹅脱氧胆酸钠,醋酸甲脒,0.7,22.01,0.2,"{'Hbond', 'Lewis'}",neutral,Neutral
15,(4-溴苯基)-2-硫代脲,甘氨鹅脱氧胆酸钠,0.7,22.22,0.4,"{'Hbond', 'Lewis'}",neutral,Neutral
16,4-氯吡啶-2-甲酰胺,甘氨鹅脱氧胆酸钠,0.7,22.2,0.39,"{'Hbond', 'Lewis'}",neutral,Neutral
17,对苯二甲胺,甘氨鹅脱氧胆酸钠,0.7,22.17,0.36,"{'Hbond', 'Lewis'}",neutral,Neutral
18,4-苯基-3-硫代氨基脲,甘氨鹅脱氧胆酸钠,0.7,21.7,-0.11,"{'Hbond', 'Lewis'}",neutral,Neutral
19,11-马来酰胺基十一烷酸,甘氨鹅脱氧胆酸钠,0.7,22.5,0.69,"{'Hbond', 'Lewis'}",synergy,AI-recommended (synergy)
20,L-高精氨酸盐酸盐,甘氨鹅脱氧胆酸钠,0.7,22.8,0.98,"{'Hbond', 'Lewis'}",synergy,AI-recommended (synergy)
21,4-氨基四氢噻喃盐酸盐,甘氨鹅脱氧胆酸钠,0.7,21.73,-0.08,"{'Hbond', 'Lewis'}",neutral,Neutral
22,甲酰胺,苯基三甲基溴化铵,0.7,22.41,0.6,"{'Hbond', 'Lewis'}",synergy,AI-recommended (synergy)
23,(4-溴苯基)-2-硫代脲,苯基三甲基溴化铵,0.7,22.5,0.69,"{'Hbond', 'Lewis'}",synergy,AI-recommended (synergy)
24,4-氯吡啶-2-甲酰胺,苯基三甲基溴化铵,0.7,21.43,-0.38,"{'Hbond', 'Lewis'}",antagonistic,AI-flags avoidance (antagonistic)
25,4-苯基-3-硫代氨基脲,苯基三甲基溴化铵,0.7,22.44,0.62,"{'Hbond', 'Lewis'}",synergy,AI-recommended (synergy)
26,二甲氨基硫代乙酰胺盐酸盐,褪黑素,0.7,20.89,-0.92,"{'Hbond', 'Lewis'}",antagonistic,AI-flags avoidance (antagonistic)
27,二甲氨基硫代乙酰胺盐酸盐,甲酰胺,0.7,21.78,-0.04,"{'Hbond', 'Lewis'}",neutral,Neutral
28,4-氯吡啶-2-甲酰胺,二甲氨基硫代乙酰胺盐酸盐,0.7,21.87,0.06,"{'Hbond', 'Lewis'}",neutral,Neutral
29,4-苯基-3-硫代氨基脲,二甲氨基硫代乙酰胺盐酸盐,0.7,22.08,0.27,"{'Hbond', 'Lewis'}",neutral,Neutral
30,4-苯基-3-硫代氨基脲,六氟磷酸钾,0.7,20.94,-0.87,"{'Hbond', 'Lewis'}",antagonistic,AI-flags avoidance (antagonistic)
31,(4-溴苯基)-2-硫代脲,山梨酸钾,0.7,24.0,2.19,"{'Hbond', 'Lewis'}",synergy,AI-recommended (synergy)
32,(4-溴苯基)-2-硫代脲,醋酸甲脒,0.7,22.43,0.61,"{'Hbond', 'Lewis'}",synergy,AI-recommended (synergy)
33,2-(4-氟苯基)乙胺盐酸盐,3-氨基-1-丙烷磺酸,0.65,22.37,0.56,"{'Interface', 'Dipole', 'Lewis'}",synergy,AI-recommended (synergy)
34,2-(4-氟苯基)乙胺盐酸盐,氨基甲烷磺酸,0.65,21.76,-0.05,"{'Interface', 'Dipole', 'Lewis'}",neutral,Neutral
35,2-(4-氟苯基)乙胺盐酸盐,对甲苯磺酸水合物,0.65,22.01,0.2,"{'Interface', 'Dipole', 'Lewis'}",neutral,Neutral
36,(2-苯乙基)磷酸,2-(4-氟苯基)乙胺盐酸盐,0.65,22.76,0.95,"{'Interface', 'Dipole', 'Lewis'}",synergy,AI-recommended (synergy)
37,2-(4-氟苯基)乙胺盐酸盐,2-氨基乙磺酸,0.65,22.52,0.7,"{'Interface', 'Dipole', 'Lewis'}",synergy,AI-recommended (synergy)
38,四(五氟苯基)硼酸钾,甘氨鹅脱氧胆酸钠,0.5,21.53,-0.28,"{'Dipole', 'Hbond'}",neutral,Neutral
39,对甲苯磺酸水合物,甘氨鹅脱氧胆酸钠,0.5,21.51,-0.3,"{'Interface', 'Hbond'}",antagonistic,AI-flags avoidance (antagonistic)
40,(2-苯乙基)磷酸,甘氨鹅脱氧胆酸钠,0.5,22.97,1.16,"{'Interface', 'Hbond'}",synergy,AI-recommended (synergy)
41,甘氨鹅脱氧胆酸钠,硫氰酸铅,0.5,21.73,-0.08,"{'Dipole', 'Hbond'}",neutral,Neutral
42,2-(4-氟苯基)乙胺盐酸盐,甲亢平,0.5,22.88,1.07,"{'Dipole', 'Lewis'}",synergy,AI-recommended (synergy)
43,2-(4-氟苯基)乙胺盐酸盐,苯基三甲基溴化铵,0.5,22.83,1.02,"{'Dipole', 'Lewis'}",synergy,AI-recommended (synergy)
44,2-(4-氟苯基)乙胺盐酸盐,二甲氨基硫代乙酰胺盐酸盐,0.5,21.46,-0.35,"{'Dipole', 'Lewis'}",antagonistic,AI-flags avoidance (antagonistic)
45,2-(4-氟苯基)乙胺盐酸盐,四(五氟苯基)硼酸钾,0.5,22.15,0.34,"{'Dipole', 'Lewis'}",neutral,Neutral
46,2-(4-氟苯基)乙胺盐酸盐,六氟磷酸钾,0.5,23.27,1.46,"{'Dipole', 'Lewis'}",synergy,AI-recommended (synergy)
47,2-(4-氟苯基)乙胺盐酸盐,三氟甲磺酸钠,0.5,21.67,-0.15,"{'Dipole', 'Lewis'}",neutral,Neutral
48,2-(4-氟苯基)乙胺盐酸盐,3-巯基苯甲酸,0.5,22.89,1.08,"{'Dipole', 'Lewis'}",synergy,AI-recommended (synergy)
49,2-(4-氟苯基)乙胺盐酸盐,2-噻吩甲胺氢碘酸盐,0.5,22.18,0.37,"{'Dipole', 'Lewis'}",neutral,Neutral
50,2-(4-氟苯基)乙胺盐酸盐,香豆素,0.5,21.54,-0.27,"{'Dipole', 'Lewis'}",neutral,Neutral
51,2-(4-氟苯基)乙胺盐酸盐,二甲胺氢碘酸盐,0.5,22.74,0.93,"{'Dipole', 'Lewis'}",synergy,AI-recommended (synergy)
52,2-(4-氟苯基)乙胺盐酸盐,S-乙基异硫脲氢溴酸盐,0.5,23.01,1.19,"{'Dipole', 'Lewis'}",synergy,AI-recommended (synergy)
53,2-(4-氟苯基)乙胺盐酸盐,β-环糊精,0.5,22.68,0.87,"{'Dipole', 'Lewis'}",synergy,AI-recommended (synergy)
54,2-(4-氟苯基)乙胺盐酸盐,哌嗪单盐酸盐,0.5,22.47,0.65,"{'Dipole', 'Lewis'}",synergy,AI-recommended (synergy)
55,2-(4-氟苯基)乙胺盐酸盐,醋酸甲脒,0.5,22.22,0.41,"{'Dipole', 'Lewis'}",neutral,Neutral
56,2-(4-氟苯基)乙胺盐酸盐,甲基丙烯酸二甲氨基乙酯,0.5,23.16,1.35,"{'Dipole', 'Lewis'}",synergy,AI-recommended (synergy)
57,2-(4-氟苯基)乙胺盐酸盐,对苯二甲胺,0.5,23.24,1.43,"{'Dipole', 'Lewis'}",synergy,AI-recommended (synergy)
58,2-(4-氟苯基)乙胺盐酸盐,2-乙酰基吡嗪,0.5,21.72,-0.09,"{'Dipole', 'Lewis'}",neutral,Neutral
