pk,PCE
(2-苯乙基)磷酸||2-(4-氟苯基)乙胺盐酸盐,22.7621
(2-苯乙基)磷酸||二甲氨基硫代乙酰胺盐酸盐,21.3474
(2-苯乙基)磷酸||对甲苯磺酸水合物,22.6731
(2-苯乙基)磷酸||甘氨鹅脱氧胆酸钠,22.9712
(2-苯乙基)磷酸||甲基丙烯酸二甲氨基乙酯,23.8225
(2-苯乙基)磷酸||苯基三甲基溴化铵,23.0507
(4-溴苯基)-2-硫代脲||2-(4-氟苯基)乙胺盐酸盐,22.3883
(4-溴苯基)-2-硫代脲||Control,22.6452
(4-溴苯基)-2-硫代脲||山梨酸钾,24.0032
(4-溴苯基)-2-硫代脲||甘氨鹅脱氧胆酸钠,22.2161
(4-溴苯基)-2-硫代脲||苯基三甲基溴化铵,22.5031
(4-溴苯基)-2-硫代脲||醋酸甲脒,22.4275
"1,3,5-三(2-噻吩基)苯||2-(4-氟苯基)乙胺盐酸盐",21.7228
"1,3,5-三(2-噻吩基)苯||对甲苯磺酸水合物",22.5311
"1,3,5-三(2-噻吩基)苯||甘氨鹅脱氧胆酸钠",21.4194
"1,3,5-三(2-噻吩基)苯||苯基三甲基溴化铵",21.1943
"1,3-二氨基丙烷二氢溴酸盐||2-(4-氟苯基)乙胺盐酸盐",22.3491
"1,3-二氨基丙烷二氢溴酸盐||2-噻吩甲胺氢碘酸盐",22.4608
"1,3-二氨基丙烷二氢溴酸盐||二甲氨基硫代乙酰胺盐酸盐",21.6563
"1,3-二氨基丙烷二氢溴酸盐||甘氨鹅脱氧胆酸钠",22.5004
"1,8-辛二胺氢碘酸盐||2-(4-氟苯基)乙胺盐酸盐",22.7728
"1,8-辛二胺氢碘酸盐||二甲氨基硫代乙酰胺盐酸盐",21.9595
"1,8-辛二胺氢碘酸盐||甘氨鹅脱氧胆酸钠",22.6548
"1,8-辛二胺氢碘酸盐||苯基三甲基溴化铵",22.8386
11-马来酰胺基十一烷酸||甘氨鹅脱氧胆酸钠,22.5017
"2,4-二氨基-6-氟嘧啶||2-(4-氟苯基)乙胺盐酸盐",22.2515
"2,4-二氨基-6-氟嘧啶||二甲氨基硫代乙酰胺盐酸盐",22.7818
"2,4-二氨基-6-氟嘧啶||噻吩-2-甲脒氢碘酸盐",23.1825
"2,4-二氨基-6-氟嘧啶||甘氨鹅脱氧胆酸钠",22.4863
"2,4-二氨基-6-氟嘧啶||苯基三甲基溴化铵",22.8405
"2,4-二氨基-6-氯嘧啶||2-(4-氟苯基)乙胺盐酸盐",21.6154
"2,4-二氨基-6-氯嘧啶||4-氯吡啶-2-甲酰胺",22.791
"2,4-二氨基-6-氯嘧啶||二甲氨基硫代乙酰胺盐酸盐",21.9837
"2,4-二氨基-6-氯嘧啶||山梨酸钾",23.3897
"2,4-二氨基-6-氯嘧啶||甘氨鹅脱氧胆酸钠",22.3577
"2,4-二氨基-6-氯嘧啶||苯基三甲基溴化铵",21.9182
"2,5-二溴噻吩并[3,2-b]噻吩||对甲苯磺酸水合物",22.9048
